Holder,sum,Combots
 erd10yqfg9ufrmypkv9ngyc2fd4h60ks7dvwyz9vguzwrdt32aauwjvslr9g3u,0.18069266403710346,52
 erd12g6qle82zezwuqy5rc676slnnfp0jnu4hrzuzhghl5daypprszjqkkan5s,17.3643514298804,6
 erd134xqgu3npm0jmr3mt9cvujfp2r4m0dn0etxmxucds5t8s0jxmcjq9wah8j,141.5,1
 erd13hvzmvcdkae9k8szphtg8s6luaa7me92xuk8py7m8g8gemen7dms0dg4dv,110.9375,2
 erd13s5dy0dnv9qyu0h3gahr3vytsej2nnmggzfcq3heujffhtjv3muq5h2s37,9.5,1
 erd13ue5vrk7p5jgm4htvspukwcz8jf6p7l63w08urggpuseczyrqf7q92v8tn,265.5,1
 erd13ujjfmw7sv86y64nw9lxkl8kvapt25x09k3ej2xgykywwe3z6ueqn782e8,285.0,1
 erd14dhg45peqmz6w38q969s8wy53f22fpahvkhcgfpcqlmnenc0na8quh92ju,22.05625217013889,5
 erd14h55junrjd5f4ywm3ze8u96588wy3hhwdht8nlufsta59xjtyp3s4fv3nq,149.8125,2
 erd14jm6swhn9lu4m9634hkvgdhtq4vyaf0dutk9w47ma06vk3yh7t2s9c4ng5,3.562621080086974,11
 erd14q9n4ju8r0x77hxrnyyvk8p8hhr3gazfmarg5qgxrhmrdd2cfans4anwt2,261.0,1
 erd14xuxddjf3f2jcp5x8dv334d0dls6tqamjj8u0q7xpfhza9s5j9uqhrx8z9,14.836805555555557,3
 erd1579n72wleud0czq5pgtcssrk4qk092nrj5flmk0n3jtgc5ndya6q5aghnq,157.0,1
 erd159mypt4myss3mqrs89ft0hjeacffks2690gq9u3mlh73m9sh0w5s09eqhh,7.141954592629379,9
 erd15c7p02w8vr6z7a8c330307jlc8yfj363rqxr5wjv0908x4c0lc9stk6f4u,59.99305555555555,3
 erd15hzdgp48hcfjakza9ge5kj9uvwjpad3ujhuvrlh9u9mvegalp8vskphapp,141.9375,2
 erd15qweljtzyha7jwgkufhfj5qqkc4fwl9nlu533dajlv32psdwatuslf50r3,508.5,1
 erd16cg0p6rk2duzg60mwlac8j8qs26qvaxf72h5a57qse29g97z8edqkk9s3t,38.170138888888886,3
