identifier,rank,edition
COMBEYS-bc640d-51,l,57
COMBEYS-bc640d-1d,l,3
COMBEYS-bc640d-81,l,1055
COMBEYS-bc640d-2b,1557,17
COMBEYS-bc640d-0333,1556,801
COMBEYS-bc640d-0338,1555,806
COMBEYS-bc640d-044b,1554,1085
COMBEYS-bc640d-028e,1553,635
COMBEYS-bc640d-29,1552,15
COMBEYS-bc640d-022d,1551,536
COMBEYS-bc640d-0373,1550,866
COMBEYS-bc640d-f8,1549,220
COMBEYS-bc640d-0218,1548,513
COMBEYS-bc640d-f5,1547,217
COMBEYS-bc640d-017f,1546,356
COMBEYS-bc640d-0155,1545,313
COMBEYS-bc640d-d8,1544,187
COMBEYS-bc640d-031e,1543,780
COMBEYS-bc640d-0142,1542,294
COMBEYS-bc640d-ad,1541,144
COMBEYS-bc640d-0175,1540,345
COMBEYS-bc640d-02d6,1539,707
COMBEYS-bc640d-0548,1538,1340
COMBEYS-bc640d-060b,1537,1537
COMBEYS-bc640d-5b,1536,70
COMBEYS-bc640d-50,1535,56
COMBEYS-bc640d-05a7,1534,1436
COMBEYS-bc640d-04f7,1533,1259
COMBEYS-bc640d-0403,1532,1012
COMBEYS-bc640d-0327,1531,789
COMBEYS-bc640d-025b,1530,582
COMBEYS-bc640d-011a,1529,254
COMBEYS-bc640d-0383,1528,882
COMBEYS-bc640d-050d,1527,1281
COMBEYS-bc640d-01f0,1526,472
COMBEYS-bc640d-f0,1525,212
COMBEYS-bc640d-0292,1524,639
COMBEYS-bc640d-02ce,1523,699
COMBEYS-bc640d-01cf,1522,439
COMBEYS-bc640d-0297,1521,644
COMBEYS-bc640d-0389,1520,888
COMBEYS-bc640d-49,1519,49
COMBEYS-bc640d-0324,1518,786
COMBEYS-bc640d-0121,1517,261
COMBEYS-bc640d-0476,1516,1128
COMBEYS-bc640d-21,1515,7
COMBEYS-bc640d-02eb,1514,728
COMBEYS-bc640d-02a5,1513,658
COMBEYS-bc640d-0211,1512,505
COMBEYS-bc640d-0208,1511,496
COMBEYS-bc640d-049b,1510,1165
COMBEYS-bc640d-05ce,1509,1475
COMBEYS-bc640d-76,1508,98
COMBEYS-bc640d-03ab,1507,922
COMBEYS-bc640d-030f,1506,764
COMBEYS-bc640d-03e5,1505,981
COMBEYS-bc640d-0210,1504,504
COMBEYS-bc640d-73,1503,95
COMBEYS-bc640d-0282,1502,623
COMBEYS-bc640d-05c2,1501,1463
COMBEYS-bc640d-02d4,1500,705
COMBEYS-bc640d-04b6,1499,1192
COMBEYS-bc640d-0603,1498,1529
COMBEYS-bc640d-0262,1497,589
COMBEYS-bc640d-0168,1496,332
COMBEYS-bc640d-0199,1495,383
COMBEYS-bc640d-03bd,1494,941
COMBEYS-bc640d-031c,1493,778
COMBEYS-bc640d-02c7,1492,692
COMBEYS-bc640d-057b,1491,1392
COMBEYS-bc640d-038c,1490,891
COMBEYS-bc640d-67,1489,83
COMBEYS-bc640d-053c,1488,1328
COMBEYS-bc640d-042d,1487,1054
COMBEYS-bc640d-0248,1486,563
COMBEYS-bc640d-049a,1485,1164
COMBEYS-bc640d-04e1,1484,1236
COMBEYS-bc640d-043d,1483,1071
COMBEYS-bc640d-010e,1482,242
COMBEYS-bc640d-011d,1481,257
COMBEYS-bc640d-3c,1480,35
COMBEYS-bc640d-03e4,1479,980
COMBEYS-bc640d-05f7,1478,1517
COMBEYS-bc640d-03ea,1477,986
COMBEYS-bc640d-0347,1476,821
COMBEYS-bc640d-b8,1475,155
COMBEYS-bc640d-85,1474,104
COMBEYS-bc640d-053a,1473,1326
COMBEYS-bc640d-036d,1472,860
COMBEYS-bc640d-03b0,1471,927
COMBEYS-bc640d-055c,1470,1360
COMBEYS-bc640d-0492,1469,1156
COMBEYS-bc640d-02fe,1468,747
COMBEYS-bc640d-ee,1467,210
COMBEYS-bc640d-03ff,1466,1008
COMBEYS-bc640d-0214,1465,509
COMBEYS-bc640d-0479,1464,1131
COMBEYS-bc640d-0313,1463,768
COMBEYS-bc640d-01f5,1462,477
COMBEYS-bc640d-df,1461,195
COMBEYS-bc640d-f1,1460,213
COMBEYS-bc640d-0269,1459,597
COMBEYS-bc640d-6f,1458,91
COMBEYS-bc640d-0402,1457,1011
COMBEYS-bc640d-01d6,1456,446
COMBEYS-bc640d-02c0,1455,685
COMBEYS-bc640d-0174,1454,344
COMBEYS-bc640d-0541,1453,1333
COMBEYS-bc640d-0417,1452,1032
COMBEYS-bc640d-0575,1451,1386
COMBEYS-bc640d-03dc,1450,972
COMBEYS-bc640d-044a,1449,1084
COMBEYS-bc640d-03da,1448,970
COMBEYS-bc640d-03c5,1447,949
COMBEYS-bc640d-020f,1446,503
COMBEYS-bc640d-010c,1445,240
COMBEYS-bc640d-89,1444,108
COMBEYS-bc640d-05bf,1443,1460
