identifier,edition,rank
COMBOTS-aa4150-03e7,999,1
COMBOTS-aa4150-03e6,998,2
COMBOTS-aa4150-03e5,997,3
COMBOTS-aa4150-03e4,996,4
COMBOTS-aa4150-03e3,995,5
COMBOTS-aa4150-03e2,994,6
COMBOTS-aa4150-03e1,993,7
COMBOTS-aa4150-03e0,992,8
COMBOTS-aa4150-03df,991,9
COMBOTS-aa4150-03de,990,10
COMBOTS-aa4150-03dd,989,11
COMBOTS-aa4150-03db,987,12
COMBOTS-aa4150-0169,361,13
COMBOTS-aa4150-02e8,744,14
COMBOTS-aa4150-0108,264,15
COMBOTS-aa4150-03c2,962,16
COMBOTS-aa4150-02ce,718,17
COMBOTS-aa4150-02c0,704,18
COMBOTS-aa4150-e6,230,19
COMBOTS-aa4150-03a5,933,20
COMBOTS-aa4150-0385,901,21
COMBOTS-aa4150-03a9,937,22
COMBOTS-aa4150-df,223,23
COMBOTS-aa4150-b2,178,24
COMBOTS-aa4150-0165,357,25
COMBOTS-aa4150-0393,915,26
COMBOTS-aa4150-02e3,739,27
COMBOTS-aa4150-79,121,28
COMBOTS-aa4150-0395,917,29
COMBOTS-aa4150-01a3,419,30
COMBOTS-aa4150-0314,788,31
COMBOTS-aa4150-0178,376,32
COMBOTS-aa4150-034e,846,33
COMBOTS-aa4150-6a,106,34
COMBOTS-aa4150-02df,735,35
COMBOTS-aa4150-02b6,694,36
COMBOTS-aa4150-f9,249,37
COMBOTS-aa4150-02d1,721,38
COMBOTS-aa4150-026b,619,39
COMBOTS-aa4150-e0,224,40
COMBOTS-aa4150-018a,394,41
COMBOTS-aa4150-0239,569,42
COMBOTS-aa4150-03a6,934,43
COMBOTS-aa4150-0121,289,44
COMBOTS-aa4150-012f,303,45
COMBOTS-aa4150-02d7,727,46
COMBOTS-aa4150-69,105,47
COMBOTS-aa4150-03ad,941,48
COMBOTS-aa4150-4b,75,49
COMBOTS-aa4150-14,20,50
COMBOTS-aa4150-4a,74,51
COMBOTS-aa4150-033f,831,52
COMBOTS-aa4150-c5,197,53
COMBOTS-aa4150-021a,538,54
COMBOTS-aa4150-01ac,428,55
COMBOTS-aa4150-035b,859,56
COMBOTS-aa4150-ea,234,57
COMBOTS-aa4150-010c,268,58
COMBOTS-aa4150-010a,266,59
COMBOTS-aa4150-020d,525,60
COMBOTS-aa4150-96,150,61
COMBOTS-aa4150-7e,126,62
COMBOTS-aa4150-6b,107,63
COMBOTS-aa4150-0214,532,64
COMBOTS-aa4150-0324,804,65
COMBOTS-aa4150-014b,331,66
COMBOTS-aa4150-1b,27,67
COMBOTS-aa4150-016b,363,68
COMBOTS-aa4150-011b,283,69
COMBOTS-aa4150-0330,816,70
COMBOTS-aa4150-0208,520,71
