identifier,edition,rank
COMBEYS-bc640d-51,57,0
COMBEYS-bc640d-1d,3,0
COMBEYS-bc640d-81,1055,0
COMBEYS-bc640d-2b,17,1557
COMBEYS-bc640d-0333,801,1556
COMBEYS-bc640d-0338,806,1555
COMBEYS-bc640d-044b,1085,1554
COMBEYS-bc640d-028e,635,1553
COMBEYS-bc640d-29,15,1552
COMBEYS-bc640d-022d,536,1551
COMBEYS-bc640d-0373,866,1550
COMBEYS-bc640d-f8,220,1549
COMBEYS-bc640d-0218,513,1548
COMBEYS-bc640d-f5,217,1547
COMBEYS-bc640d-017f,356,1546
COMBEYS-bc640d-0155,313,1545
COMBEYS-bc640d-d8,187,1544
COMBEYS-bc640d-031e,780,1543
COMBEYS-bc640d-0142,294,1542
COMBEYS-bc640d-ad,144,1541
COMBEYS-bc640d-0175,345,1540
COMBEYS-bc640d-02d6,707,1539
COMBEYS-bc640d-0548,1340,1538
COMBEYS-bc640d-060b,1537,1537
COMBEYS-bc640d-5b,70,1536
COMBEYS-bc640d-50,56,1535
COMBEYS-bc640d-05a7,1436,1534
COMBEYS-bc640d-04f7,1259,1533
COMBEYS-bc640d-0403,1012,1532
COMBEYS-bc640d-0327,789,1531
COMBEYS-bc640d-025b,582,1530
COMBEYS-bc640d-011a,254,1529
COMBEYS-bc640d-0383,882,1528
COMBEYS-bc640d-050d,1281,1527
COMBEYS-bc640d-01f0,472,1526
COMBEYS-bc640d-f0,212,1525
COMBEYS-bc640d-0292,639,1524
COMBEYS-bc640d-02ce,699,1523
COMBEYS-bc640d-01cf,439,1522
COMBEYS-bc640d-0297,644,1521
COMBEYS-bc640d-0389,888,1520
COMBEYS-bc640d-49,49,1519
COMBEYS-bc640d-0324,786,1518
COMBEYS-bc640d-0121,261,1517
COMBEYS-bc640d-0476,1128,1516
COMBEYS-bc640d-21,7,1515
COMBEYS-bc640d-02eb,728,1514
COMBEYS-bc640d-02a5,658,1513
COMBEYS-bc640d-0211,505,1512
COMBEYS-bc640d-0208,496,1511
COMBEYS-bc640d-049b,1165,1510
COMBEYS-bc640d-05ce,1475,1509
COMBEYS-bc640d-76,98,1508
COMBEYS-bc640d-03ab,922,1507
COMBEYS-bc640d-030f,764,1506
COMBEYS-bc640d-03e5,981,1505
COMBEYS-bc640d-0210,504,1504
COMBEYS-bc640d-73,95,1503
COMBEYS-bc640d-0282,623,1502
COMBEYS-bc640d-05c2,1463,1501
COMBEYS-bc640d-02d4,705,1500
COMBEYS-bc640d-04b6,1192,1499
COMBEYS-bc640d-0603,1529,1498
COMBEYS-bc640d-0262,589,1497
COMBEYS-bc640d-0168,332,1496
COMBEYS-bc640d-0199,383,1495
COMBEYS-bc640d-03bd,941,1494
COMBEYS-bc640d-031c,778,1493
COMBEYS-bc640d-02c7,692,1492
COMBEYS-bc640d-057b,1392,1491
COMBEYS-bc640d-038c,891,1490
COMBEYS-bc640d-67,83,1489
COMBEYS-bc640d-053c,1328,1488
COMBEYS-bc640d-042d,1054,1487
COMBEYS-bc640d-0248,563,1486
COMBEYS-bc640d-049a,1164,1485
COMBEYS-bc640d-04e1,1236,1484
COMBEYS-bc640d-043d,1071,1483
COMBEYS-bc640d-010e,242,1482
COMBEYS-bc640d-011d,257,1481
COMBEYS-bc640d-3c,35,1480
COMBEYS-bc640d-03e4,980,1479
COMBEYS-bc640d-05f7,1517,1478
COMBEYS-bc640d-03ea,986,1477
COMBEYS-bc640d-0347,821,1476
COMBEYS-bc640d-b8,155,1475
COMBEYS-bc640d-85,104,1474
COMBEYS-bc640d-053a,1326,1473
COMBEYS-bc640d-036d,860,1472
COMBEYS-bc640d-03b0,927,1471
COMBEYS-bc640d-055c,1360,1470
COMBEYS-bc640d-0492,1156,1469
COMBEYS-bc640d-02fe,747,1468
COMBEYS-bc640d-ee,210,1467
COMBEYS-bc640d-03ff,1008,1466
COMBEYS-bc640d-0214,509,1465
COMBEYS-bc640d-0479,1131,1464
COMBEYS-bc640d-0313,768,1463
COMBEYS-bc640d-01f5,477,1462
COMBEYS-bc640d-df,195,1461
COMBEYS-bc640d-f1,213,1460
COMBEYS-bc640d-0269,597,1459
COMBEYS-bc640d-6f,91,1458
COMBEYS-bc640d-0402,1011,1457
COMBEYS-bc640d-01d6,446,1456
COMBEYS-bc640d-02c0,685,1455
COMBEYS-bc640d-0174,344,1454
COMBEYS-bc640d-0541,1333,1453
COMBEYS-bc640d-0417,1032,1452
COMBEYS-bc640d-0575,1386,1451
COMBEYS-bc640d-03dc,972,1450
COMBEYS-bc640d-044a,1084,1449
COMBEYS-bc640d-03da,970,1448
COMBEYS-bc640d-03c5,949,1447
COMBEYS-bc640d-020f,503,1446
COMBEYS-bc640d-010c,240,1445
COMBEYS-bc640d-89,108,1444
COMBEYS-bc640d-05bf,1460,1443
COMBEYS-bc640d-01a5,395,1442
COMBEYS-bc640d-0534,1320,1441
COMBEYS-bc640d-04c0,1202,1440
COMBEYS-bc640d-3d,36,1439
COMBEYS-bc640d-04cc,1214,1438
COMBEYS-bc640d-0272,607,1437
COMBEYS-bc640d-04e3,1238,1436
COMBEYS-bc640d-0599,1422,1435
COMBEYS-bc640d-f4,216,1434
COMBEYS-bc640d-038b,890,1433
COMBEYS-bc640d-0357,838,1432
COMBEYS-bc640d-05cc,1473,1431
COMBEYS-bc640d-91,116,1430
COMBEYS-bc640d-0598,1421,1429
COMBEYS-bc640d-05b6,1451,1428
COMBEYS-bc640d-02f2,735,1427
COMBEYS-bc640d-0217,512,1426
COMBEYS-bc640d-0223,524,1425
COMBEYS-bc640d-048b,1149,1424
COMBEYS-bc640d-01ac,402,1423
COMBEYS-bc640d-05ff,1525,1422
COMBEYS-bc640d-4b,51,1421
COMBEYS-bc640d-031b,777,1420
COMBEYS-bc640d-02f6,739,1419
COMBEYS-bc640d-017d,354,1418
COMBEYS-bc640d-0339,807,1417
